id,name,email,phone,role,program_id,username,last_login,password,short_name
028628c7-cc53-4ed8-bd74-a0eb84970399,AKR,akr@daiict.ac.in,,instructor,,akr@daiict.ac.in,,password123,AKR
0c02d7ef-7574-4c3b-bef7-b6eb01ca8c6f,Kalyan Shashidhar,Kalyan@gmail.com,1234567890,instructor,,Kalyan@gmail.com,,Kalyan@gmail.com,
0f42beb9-2805-4643-8c7e-c05c146e9766,Sandeep D. Gupta,sandeep.gupta@xai.com,4433221107,instructor,,sandeep_g,2025-06-23 11:15:00,sdgpass654,SDG
128fe7fd-bbac-40b3-ba3f-e00eebe64016,Rakesh Mehra,rakesh.mehra@xai.com,5544332211,instructor,,rakesh_m,2025-07-12 15:15:00,rmpass123,RM
13f5b425-b134-4673-a2f0-bbd10bb0860f,Ravi Bhatt,ravi.bhatt@fakeuni.edu,+91-98765-43213,instructor,,rbhatt,,hashedpassword123,RB
14cd98eb-92b7-4e86-9c3b-0722d55013fb,Sanjay Jain,sanjay.jain@xai.com,1100998874,instructor,,sanjay_j,,sjpass456,SJ
189ab287-386e-418f-9a53-ff4495832bf5,Sanjay Patil,sanjay.patil@xai.com,4433221100,instructor,,sanjay_p,,sppass456,SP
1cec1679-d5c5-44d1-a1f3-5e1c05df0cd3,Anil N. Sharma,anil.sharma@xai.com,9988776652,instructor,,anil_s,,anspass987,ANS
1f055447-1098-4d46-a4ef-98453ffc4f09,Amit Dwivedi,amit.dwivedi@fakeuni.edu,+91-98765-43210,instructor,,adwivedi,,hashedpassword123,AD
22ec45b3-c0e4-49f3-bac3-207ad6bacc21,Bharat Kumar,bharat.kumar@xai.com,5544332207,instructor,,bharat_k,2025-06-19 13:15:00,bkpass123,BK
23031393-2c9b-46a3-9d37-6948e103950e,Sanjay Tiwari,sanjay.tiwari@xai.com,7766554432,instructor,,sanjay_t,,stpass456,ST
25e5976b-e645-4183-9736-35a59d28b60b,Tarun Bhatt,tarun.bhatt@xai.com,3322110094,instructor,,tarun_b,,tbpass123,TB
278b42d0-ab3f-49ae-b964-6e5d03865713,Vikram Singh,vikram.singh@xai.com,2109876543,instructor,,vikram_s,2025-06-20 16:20:00,vspass123,VS
2b10616d-39f8-4f68-9dab-54b09091e62d,Chandra Joshi,chandra.joshi@xai.com,5544332209,instructor,,chandra_j,2025-06-24 15:00:00,cjpass123,CJ
30c85141-1719-48a9-846b-061ebd8fe793,Harish Patel,harish.patel@xai.com,8877665540,instructor,,harish_p,,hppass321,HP
3424904f-f5b2-4599-aaeb-fbd1ffe1e5b3,Anil Tiwari,anil.tiwari@xai.com,9988776650,instructor,,anil_t,,atpass987,AT
365e2e81-92a3-4588-a6c9-a89e324bfceb,Bhavesh Mistry,bhavesh.mistry@xai.com,1100998877,instructor,,bhavesh_m,2025-07-08 12:30:00,bmpass654,BM
3a567467-c1d8-42a6-bf30-df819cec7080,Nitin Joshi,nitin.joshi@xai.com,3210987654,instructor,,nitin_j,,njpass987,NJ
3e1d9166-f135-4281-875e-004c7f1217ff,Sanjay Kumar,sanjay.kumar@xai.com,2211009984,instructor,,sanjay_k,,skpass321,SK
424f5640-204a-47ab-b1e7-6b07fc13eee5,Prakash Rao,prakash.rao@xai.com,1100998875,instructor,,prakash_r,2025-07-07 14:30:00,prpass654,PR
480bfc8e-3c2f-4166-98c3-f2f7befc5156,Mahir,mahir@gmail.com,9638527410,instructor,,mahir@gmail.com,,mahir@gmail.com,MM
488654fc-95f1-4065-91f1-b6a7e5224129,Yogesh Verma,yogesh.verma@xai.com,4433221106,instructor,,yogesh_v,,yvpass456,YV
48a952b1-1bbf-4971-8485-481316f5dbed,Arun M. Mehta,arun.mehta@xai.com,2211009988,instructor,,arun_m,,ammpass321,AMM
4a0e2227-0eff-4335-8724-c016a7be2360,Pawan Desai,pawan.desai@xai.com,3322110095,instructor,,pawan_d,2025-07-17 15:00:00,pdpass789,PD
4edddd52-bb44-40d2-a988-60397c155a26,Girish Desai,girish.desai@xai.com,4433221108,instructor,,girish_d,,gdpass456,GD
563b1951-d8d9-45c2-bfe2-9658d3cd8aa3,Vikram Malhotra,vikram.malhotra@xai.com,8877665541,instructor,,vikram_m,2025-06-27 09:45:00,vmpass123,VM
5805163a-96b0-4425-97b5-8b102dcb321a,Mahesh K. Gupta,mahesh.gupta@xai.com,8877665544,instructor,,mahesh_g,,mkgpass321,MKG
